scanned_at_utc,event,ticker,side,price_cents,model_prob,ev_cents,outcome,clv_cents
2026-08-12T10:56:33+00:00,KXMLBTOTAL-26AUG121610MILSD,KXMLBTOTAL-26AUG121610MILSD-11,no,71,0.797,7.3,win (+29c),+28
2026-08-12T11:43:22+00:00,KXMLBTOTAL-26AUG121610MILSD,KXMLBTOTAL-26AUG121610MILSD-11,no,71,0.797,7.3,win (+29c),+28
2026-08-12T12:56:22+00:00,KXMLBTOTAL-26AUG121610MILSD,KXMLBTOTAL-26AUG121610MILSD-11,no,71,0.797,7.3,win (+29c),+28
2026-08-12T14:19:20+00:00,KXMLBTOTAL-26AUG122210KCLAD,KXMLBTOTAL-26AUG122210KCLAD-8,yes,64,0.729,7.3,loss (-64c),-63
2026-08-12T15:28:51+00:00,KXMLBTOTAL-26AUG122210KCLAD,KXMLBTOTAL-26AUG122210KCLAD-8,yes,63,0.729,8.3,loss (-63c),-62
2026-08-12T16:27:08+00:00,KXMLBTOTAL-26AUG122210KCLAD,KXMLBTOTAL-26AUG122210KCLAD-8,yes,63,0.729,8.3,loss (-63c),-62
2026-08-12T17:29:00+00:00,KXMLBTOTAL-26AUG122210KCLAD,KXMLBTOTAL-26AUG122210KCLAD-8,yes,63,0.729,8.3,loss (-63c),-62
2026-08-12T18:27:49+00:00,KXMLBTOTAL-26AUG122210KCLAD,KXMLBTOTAL-26AUG122210KCLAD-8,yes,63,0.729,8.3,loss (-63c),-62
2026-08-12T19:37:49+00:00,KXMLBTOTAL-26AUG122210KCLAD,KXMLBTOTAL-26AUG122210KCLAD-8,yes,63,0.729,8.3,loss (-63c),-62
2026-08-12T20:37:46+00:00,KXMLBTOTAL-26AUG122210KCLAD,KXMLBTOTAL-26AUG122210KCLAD-8,yes,63,0.729,8.3,loss (-63c),-62
2026-08-12T21:39:47+00:00,KXMLBTOTAL-26AUG122210KCLAD,KXMLBTOTAL-26AUG122210KCLAD-8,yes,63,0.729,8.3,loss (-63c),-62
2026-08-12T22:34:38+00:00,KXMLBTOTAL-26AUG122210KCLAD,KXMLBTOTAL-26AUG122210KCLAD-8,yes,63,0.729,8.3,loss (-63c),-62
2026-08-12T23:34:59+00:00,KXMLBTOTAL-26AUG122210KCLAD,KXMLBTOTAL-26AUG122210KCLAD-8,yes,63,0.729,8.3,loss (-63c),-62
2026-08-13T01:25:28+00:00,KXMLBTOTAL-26AUG122210KCLAD,KXMLBTOTAL-26AUG122210KCLAD-8,yes,63,0.729,8.3,loss (-63c),-62
2026-08-13T11:02:51+00:00,KXMLBTOTAL-26AUG132207TEXLAA,KXMLBTOTAL-26AUG132207TEXLAA-11,no,71,0.787,6.3,win (+29c),+28
2026-08-13T11:02:51+00:00,KXMLBTOTAL-26AUG132207TEXLAA,KXMLBTOTAL-26AUG131930PHIMIN-11,no,66,0.734,5.9,win (+34c),+33
2026-08-13T11:02:51+00:00,KXMLBTOTAL-26AUG132207TEXLAA,KXMLBTOTAL-26AUG131605CHCWSH-11,no,66,0.729,5.3,win (+34c),+33
2026-08-13T12:07:34+00:00,KXMLBTOTAL-26AUG132207TEXLAA,KXMLBTOTAL-26AUG132207TEXLAA-11,no,71,0.787,6.3,win (+29c),+28
2026-08-13T13:55:15+00:00,KXMLBTOTAL-26AUG132207TEXLAA,KXMLBTOTAL-26AUG132207TEXLAA-8,yes,50,0.580,6.3,loss (-50c),-49
2026-08-13T14:52:19+00:00,KXMLBTOTAL-26AUG132207TEXLAA,KXMLBTOTAL-26AUG132207TEXLAA-8,yes,49,0.580,7.3,loss (-49c),-48
2026-08-13T15:54:29+00:00,KXMLBTOTAL-26AUG132207TEXLAA,KXMLBTOTAL-26AUG132207TEXLAA-8,yes,49,0.580,7.3,loss (-49c),-48
2026-08-13T16:51:06+00:00,KXMLBTOTAL-26AUG132207TEXLAA,KXMLBTOTAL-26AUG132207TEXLAA-8,yes,48,0.580,8.3,loss (-48c),-47
2026-08-13T17:54:06+00:00,KXMLBTOTAL-26AUG132207TEXLAA,KXMLBTOTAL-26AUG132207TEXLAA-8,yes,48,0.580,8.3,loss (-48c),-47
2026-08-13T18:55:36+00:00,KXMLBTOTAL-26AUG132207TEXLAA,KXMLBTOTAL-26AUG132207TEXLAA-8,yes,48,0.580,8.3,loss (-48c),-47
2026-08-13T19:54:20+00:00,KXMLBTOTAL-26AUG132207TEXLAA,KXMLBTOTAL-26AUG132207TEXLAA-8,yes,48,0.580,8.3,loss (-48c),-47
2026-08-13T20:36:25+00:00,KXMLBTOTAL-26AUG132207TEXLAA,KXMLBTOTAL-26AUG132207TEXLAA-8,yes,48,0.580,8.3,loss (-48c),-47
2026-08-13T21:39:28+00:00,KXMLBTOTAL-26AUG132207TEXLAA,KXMLBTOTAL-26AUG132207TEXLAA-8,yes,48,0.580,8.3,loss (-48c),-47
2026-08-13T22:35:47+00:00,KXMLBTOTAL-26AUG132207TEXLAA,KXMLBTOTAL-26AUG132207TEXLAA-8,yes,48,0.580,8.3,loss (-48c),-47
2026-08-13T23:35:28+00:00,KXMLBTOTAL-26AUG132207TEXLAA,KXMLBTOTAL-26AUG132207TEXLAA-7,yes,60,0.704,8.7,win (+40c),+39
2026-08-14T01:25:07+00:00,KXMLBTOTAL-26AUG132207TEXLAA,KXMLBTOTAL-26AUG132207TEXLAA-8,yes,47,0.580,9.3,loss (-47c),-46
2026-08-14T01:25:07+00:00,KXMLBTOTAL-26AUG132207TEXLAA,KXMLBTOTAL-26AUG132207TEXLAA-7,yes,60,0.704,8.7,win (+40c),+39
2026-08-14T01:25:07+00:00,KXMLBTOTAL-26AUG132207TEXLAA,KXMLBTOTAL-26AUG132210MILLAD-7,yes,67,0.739,5.4,win (+33c),+32
2026-08-14T01:25:07+00:00,KXMLBTOTAL-26AUG132207TEXLAA,KXMLBTOTAL-26AUG132210MILLAD-8,yes,55,0.621,5.3,win (+45c),+44
2026-08-14T14:13:21+00:00,KXMLBTOTAL-26AUG142138KCLAA,KXMLBTOTAL-26AUG142138KCLAA-11,no,66,0.746,7.1,loss (-66c),-65
2026-08-14T14:13:21+00:00,KXMLBTOTAL-26AUG142138KCLAA,KXMLBTOTAL-26AUG141910WSHNYM-11,no,66,0.737,6.1,win (+34c),+33
2026-08-14T15:14:40+00:00,KXMLBTOTAL-26AUG142138KCLAA,KXMLBTOTAL-26AUG142138KCLAA-11,no,66,0.746,7.1,loss (-66c),-65
2026-08-14T16:13:59+00:00,KXMLBTOTAL-26AUG142138KCLAA,KXMLBTOTAL-26AUG142138KCLAA-11,no,66,0.746,7.1,loss (-66c),-65
2026-08-14T17:26:50+00:00,KXMLBTOTAL-26AUG142138KCLAA,KXMLBTOTAL-26AUG142138KCLAA-11,no,66,0.746,7.1,loss (-66c),-65
2026-08-14T18:23:55+00:00,KXMLBTOTAL-26AUG142138KCLAA,KXMLBTOTAL-26AUG142138KCLAA-11,no,66,0.746,7.1,loss (-66c),-65
2026-08-14T19:27:18+00:00,KXMLBTOTAL-26AUG141840BOSPIT,KXMLBTOTAL-26AUG141840BOSPIT-11,no,72,0.796,6.1,loss (-72c),-71
2026-08-14T20:03:36+00:00,KXMLBTOTAL-26AUG141840BOSPIT,KXMLBTOTAL-26AUG141840BOSPIT-11,no,72,0.796,6.1,loss (-72c),-71
2026-08-14T20:54:50+00:00,KXMLBTOTAL-26AUG141840BOSPIT,KXMLBTOTAL-26AUG141840BOSPIT-11,no,72,0.796,6.1,loss (-72c),-71
2026-08-14T21:20:12+00:00,KXMLBTOTAL-26AUG141840BOSPIT,KXMLBTOTAL-26AUG141840BOSPIT-11,no,72,0.796,6.1,loss (-72c),-71
2026-08-14T21:48:28+00:00,KXMLBTOTAL-26AUG141840BOSPIT,KXMLBTOTAL-26AUG141840BOSPIT-11,no,72,0.796,6.1,loss (-72c),-71
2026-08-14T22:17:11+00:00,KXMLBTOTAL-26AUG141840BOSPIT,KXMLBTOTAL-26AUG141840BOSPIT-11,no,72,0.796,6.1,loss (-72c),-71
2026-08-14T22:48:24+00:00,KXMLBTOTAL-26AUG142138KCLAA,KXMLBTOTAL-26AUG142138KCLAA-11,no,67,0.746,6.1,loss (-67c),-66
2026-08-14T23:16:24+00:00,KXMLBTOTAL-26AUG142138KCLAA,KXMLBTOTAL-26AUG142138KCLAA-11,no,67,0.746,6.1,loss (-67c),-66
2026-08-14T23:45:44+00:00,KXMLBTOTAL-26AUG142138KCLAA,KXMLBTOTAL-26AUG142138KCLAA-11,no,67,0.746,6.1,loss (-67c),-66
2026-08-15T00:55:39+00:00,KXMLBTOTAL-26AUG142138KCLAA,KXMLBTOTAL-26AUG142138KCLAA-11,no,67,0.746,6.1,loss (-67c),-66
2026-08-15T14:16:53+00:00,KXMLBTOTAL-26AUG152138KCLAA,KXMLBTOTAL-26AUG152138KCLAA-11,no,68,0.786,9.1,win (+32c),+30
